# license: MIT
reading	surface	left_id	right_id	word_cost	prediction_cost	flags	annotation
activerecord	Active Record	1851	1851	7255	7555	it,predict	
activity	Activity Bar	1851	1851	7340	7640	it,predict	
activitybar	Activity Bar	1851	1851	7220	7520	it,predict	
actor	Actor Model	1851	1851	7305	7605	it,predict	
actor	Actor System	1851	1851	7340	7640	it,predict	
actormodel	Actor Model	1851	1851	7305	7605	it,predict	
actorsystem	Actor System	1851	1851	7340	7640	it,predict	
actual	Actual Contribution	1851	1851	7585	7885	it,predict	
actual	Actual Result	1851	1851	7375	7675	it,predict	
actualcontribution	Actual Contribution	1851	1851	7585	7885	it,predict	
actualresult	Actual Result	1851	1851	7375	7675	it,predict	
actuator	Actuator	1851	1851	7080	7380	it,predict	
actuator	actuator endpoint	1851	1851	7515	7815	it,predict	
actuatorendpoint	actuator endpoint	1851	1851	7395	7695	it,predict	
ad	AD	1851	1851	6870	7170	it,predict	
ad	Ad Hoc Audit	1851	1851	7340	7640	it,predict	
ad-hoc	Ad-hoc Polymorphism	1851	1851	7585	7885	it,predict	
ad-hocpolymorphism	Ad-hoc Polymorphism	1851	1851	7585	7885	it,predict	
adam	Adam	1851	1851	6940	7240	it,predict	
adapter	Adapter	1851	1851	7165	7465	it,predict	
adapter	Adapter Pattern	1851	1851	7445	7745	it,predict	
adapterpattern	Adapter Pattern	1851	1851	7445	7745	it,predict	
adaptive	Adaptive Design	1851	1851	7445	7745	it,predict	
adaptive	Adaptive Moment Estimation	1851	1851	7620	7920	it,predict	
adaptivedesign	Adaptive Design	1851	1851	7445	7745	it,predict	
adaptivemomentestimation	Adaptive Moment Estimation	1851	1851	7620	7920	it,predict	
adc	ADC	1851	1851	6905	7205	it,predict	
add-on	add-on development	1851	1851	7550	7850	it,predict	
add-ondevelopment	add-on development	1851	1851	7550	7850	it,predict	
addeventlistener	addEventListener	1851	1851	7360	7660	it,predict	
addeventlistener	addEventListener API	1851	1851	7620	7920	it,predict	
addeventlistenerapi	addEventListener API	1851	1851	7620	7920	it,predict	
additional	Additional Attributes	1851	1851	7620	7920	it,predict	
additional	Additional Estimate	1851	1851	7585	7885	it,predict	
additional	Additional Paid-in Capital Reserve	1851	1851	7620	7920	it,predict	
additionalattributes	Additional Attributes	1851	1851	7500	7800	it,predict	
additionalestimate	Additional Estimate	1851	1851	7585	7885	it,predict	
additionalpaid-incapitalreserve	Additional Paid-in Capital Reserve	1851	1851	7620	7920	it,predict	
additionalpaidincapitalreserve	Additional Paid-in Capital Reserve	1851	1851	7620	7920	it,predict	
addondevelopment	add-on development	1851	1851	7550	7850	it,predict	
address	Address Resolution Protocol	1851	1851	7620	7920	it,predict	
address	Address Space	1851	1851	7375	7675	it,predict	
addressed	addressed to listed company representative	1851	1851	7620	7920	it,predict	
addressedtolistedcompanyrepresentative	addressed to listed company representative	1851	1851	7620	7920	it,predict	
addressresolutionprotocol	Address Resolution Protocol	1851	1851	7620	7920	it,predict	
addressspace	Address Space	1851	1851	7375	7675	it,predict	
ade	ADE	1851	1851	7025	7325	it,predict	
adhocaudit	Ad Hoc Audit	1851	1851	7340	7640	it,predict	
adhocpolymorphism	Ad-hoc Polymorphism	1851	1851	7585	7885	it,predict	
adj.	adj. R2	1851	1851	7165	7465	it,predict	
adj.r2	adj. R2	1851	1851	7165	7465	it,predict	
adjr2	adj. R2	1851	1851	7165	7465	it,predict	
adjusted	adjusted R2	1851	1851	7305	7605	it,predict	
adjustedr2	adjusted R2	1851	1851	7305	7605	it,predict	
adls	ADLS	1851	1851	7060	7360	it,predict	
admin	ADMIN	1851	1851	6975	7275	it,predict	
administration	Administration Services	1851	1851	7620	7920	it,predict	
administrationservices	Administration Services	1851	1851	7500	7800	it,predict	
admission	Admission Controller	1851	1851	7620	7920	it,predict	
admission	Admission Webhook	1851	1851	7515	7815	it,predict	
admissioncontroller	Admission Controller	1851	1851	7500	7800	it,predict	
admissionwebhook	Admission Webhook	1851	1851	7395	7695	it,predict	
adr	ADR	1851	1851	6905	7205	it,predict	
adt	ADT	1851	1851	7025	7325	it,predict	
advance	Advance Commencement	1851	1851	7620	7920	it,predict	
advance	Advance Ordering	1851	1851	7480	7780	it,predict	
advance	Advance Payment	1851	1851	7445	7745	it,predict	
advance	Advance Payment (Karibarai)	1851	1851	7620	7920	it,predict	
advancecommencement	Advance Commencement	1851	1851	7620	7920	it,predict	
advanced	Advanced Maryland Automatic Network Disk Archiver	1851	1851	7620	7920	it,predict	
advanced	Advanced Message Queuing Protocol	1851	1851	7620	7920	it,predict	
advanced	Advanced Package Tool	1851	1851	7620	7920	it,predict	
advancedmarylandautomaticnetworkdiskarchiver	Advanced Maryland Automatic Network Disk Archiver	1851	1851	7620	7920	it,predict	
advancedmessagequeuingprotocol	Advanced Message Queuing Protocol	1851	1851	7620	7920	it,predict	
advancedpackagetool	Advanced Package Tool	1851	1851	7620	7920	it,predict	
advanceordering	Advance Ordering	1851	1851	7480	7780	it,predict	
advancepayment	Advance Payment	1851	1851	7445	7745	it,predict	
advancepayment(karibarai)	Advance Payment (Karibarai)	1851	1851	7620	7920	it,predict	
advancepaymentkaribarai	Advance Payment (Karibarai)	1851	1851	7620	7920	it,predict	
advised	Advised Resignation	1851	1851	7585	7885	it,predict	
advisedresignation	Advised Resignation	1851	1851	7585	7885	it,predict	
advisor	Advisor	1851	1851	7165	7465	it,predict	
advisory	Advisory Database	1851	1851	7515	7815	it,predict	
advisorydatabase	Advisory Database	1851	1851	7515	7815	it,predict	
adw	ADW	1851	1851	6905	7205	it,predict	
ae	AE	1851	1851	6990	7290	it,predict	
affine	Affine Type	1851	1851	7305	7605	it,predict	
affinetype	Affine Type	1851	1851	7305	7605	it,predict	
affordance	Affordance	1851	1851	7270	7570	it,predict	
afterall	@AfterAll	1851	1851	7235	7535	it,predict	
aftereach	@AfterEach	1851	1851	7270	7570	it,predict	
agent	Agent	1851	1851	6975	7275	it,predict	
agent	Agent Permission Audit	1851	1851	7620	7920	it,predict	
agentic	Agentic AI	1851	1851	7270	7570	it,predict	
agentic	Agentic Coding	1851	1851	7410	7710	it,predict	
